Method,Approach,Cases,Strict BLOCK Accuracy (%),Safety Interception (%),Dangerous Miss Rate (%),Benign False-Block (%),Mean Latency (ms)
Always Allow,No protection,342,0.00%,0.00%,100.00%,0.00%,< 0.01
Keyword Filter,Rule-based regex,342,43.86%,43.86%,56.14%,12.00%,0.12
AST Policy Firewall,Non-LLM AST + policies,342,44.74%,44.74%,55.26%,0.00%,1.76
LLM Safety Judge (Pilot),LLM-as-a-judge (Gemini),8,100.00%,100.00%,0.00%,N/A,4031.10
GuardianAgent (Proposed),Multi-stage intent gateway,342,91.81%,97.37%,2.63%,0.00%,17.38
